Customer_ID;Email_Date;Opened;Clicked
1;2025-07-30;False;False
1;2025-11-30;True;True
1;2025-05-01;False;False
1;2025-05-25;True;True
1;2025-08-31;True;False
1;2025-08-14;False;False
1;2025-08-08;True;False
1;2025-10-13;True;False
1;2025-05-31;False;False
2;2025-07-30;True;False
2;2025-02-01;False;False
2;2025-10-20;True;True
2;2025-12-01;True;False
2;2025-02-19;False;False
2;2025-02-11;False;False
2;2025-12-26;True;True
2;2025-04-09;True;False
2;2025-01-07;True;False
3;2025-10-29;True;True
3;2025-01-18;False;False
3;2025-07-13;True;True
3;2025-10-19;False;False
3;2025-08-14;False;False
3;2025-05-07;True;False
3;2025-07-28;False;False
4;2025-11-22;False;False
4;2025-05-18;True;False
4;2025-12-03;False;False
4;2025-03-09;False;False
4;2025-09-17;True;True
4;2025-02-11;True;False
4;2025-05-19;True;False
4;2025-11-22;True;False
4;2025-04-09;False;False
5;2025-08-23;False;False
5;2025-04-01;False;False
6;2025-01-11;False;False
6;2025-11-14;True;False
6;2025-03-23;False;False
6;2025-12-10;True;True
6;2025-12-06;True;True
6;2025-01-18;True;True
7;2025-03-18;False;False
7;2025-10-21;False;False
7;2025-06-23;False;False
7;2025-05-15;False;False
7;2025-01-31;False;False
8;2025-03-15;False;False
9;2025-09-08;True;True
9;2025-09-08;True;False
9;2025-05-24;True;False
9;2025-07-12;False;False
9;2025-01-04;True;False
9;2025-06-04;False;False
9;2025-12-07;False;False
9;2025-11-10;False;False
9;2025-06-16;True;False
10;2025-05-04;True;True
11;2025-03-11;False;False
11;2025-10-27;True;False
12;2025-11-22;False;False
12;2025-03-30;False;False
12;2025-02-21;False;False
12;2025-08-29;True;True
12;2025-09-01;False;False
13;2025-10-19;True;True
13;2025-08-14;True;False
13;2025-08-08;True;False
13;2025-03-26;True;False
13;2025-05-24;False;False
13;2025-02-18;False;False
14;2025-02-06;False;False
14;2025-01-31;True;True
15;2025-08-15;False;False
15;2025-10-12;True;True
15;2025-08-28;True;False
15;2025-04-13;False;False
15;2025-07-12;True;True
15;2025-03-02;False;False
15;2025-05-13;False;False
15;2025-02-24;False;False
15;2025-10-10;True;False
15;2025-04-15;True;True
16;2025-04-14;False;False
16;2025-11-08;False;False
16;2025-09-06;True;False
16;2025-01-27;True;True
16;2025-08-05;False;False
16;2025-01-29;True;True
17;2025-07-25;True;True
17;2025-10-13;True;False
17;2025-03-03;True;True
17;2025-10-12;True;True
17;2025-03-08;True;False
17;2025-03-12;True;False
17;2025-08-08;True;False
17;2025-09-20;True;True
17;2025-08-16;True;True
17;2025-03-24;True;False
17;2025-01-02;True;True
17;2025-12-24;False;False
18;2025-10-30;True;True
18;2025-08-01;True;True
18;2025-11-12;True;False
18;2025-01-08;False;False
18;2025-10-31;True;True
18;2025-03-24;False;False
18;2025-04-19;True;True
18;2025-07-03;False;False
18;2025-06-02;True;True
18;2025-04-14;True;True
19;2025-11-04;True;True
19;2025-08-21;False;False
19;2025-12-14;False;False
19;2025-02-13;True;False
19;2025-05-23;False;False
19;2025-05-12;True;False
19;2025-01-28;False;False
19;2025-02-07;False;False
19;2025-06-14;True;True
19;2025-12-24;False;False
19;2025-11-26;True;False
19;2025-04-17;False;False
20;2025-02-16;False;False
20;2025-07-10;True;True
20;2025-11-26;False;False
20;2025-05-25;False;False
20;2025-12-29;True;False
20;2025-01-05;False;False
20;2025-05-20;False;False
20;2025-07-31;True;False
20;2025-11-12;False;False
20;2025-11-10;True;True
20;2025-12-11;False;False
